"BROWN EARTH" mass-specific mineral absorption coefficient, amin*(wavelength) in m^2/gm,  
for use by IOP routines.  These values times the concentration of mineral particles in gm/m^3 
give the absoption coefficient of the mineral particles in 1/m.  
These values are taken from Fig 4-3A of Y-H Ahn, "Proprietes optiques
des particules biologiques et minerales...," Univ. P. & M. Curie, 
Paris, France, 1999.  Measurements were 400-700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelen   amin*
  (nm)  (m^2/gm)
 300.0  0.21000
 305.0  0.20761
 310.0  0.20512
 315.0  0.20253
 320.0  0.19982
 325.0  0.19697
 330.0  0.19397
 335.0  0.19080
 340.0  0.18743
 345.0  0.18384
 350.0  0.18000
 355.0  0.17590
 360.0  0.17158
 365.0  0.16711
 370.0  0.16256
 375.0  0.15799
 380.0  0.15345
 385.0  0.14902
 390.0  0.14476
 395.0  0.14073
 400.0  0.13700
 405.0  0.13360
 410.0  0.13039
 415.0  0.12718
 420.0  0.12378
 425.0  0.12000
 430.0  0.11572
 435.0  0.11112
 440.0  0.10646
 445.0  0.10200
 450.0  0.09800
 455.0  0.09464
 460.0  0.09183
 465.0  0.08939
 470.0  0.08717
 475.0  0.08500
 480.0  0.08276
 485.0  0.08042
 490.0  0.07801
 495.0  0.07553
 500.0  0.07300
 505.0  0.07042
 510.0  0.06782
 515.0  0.06520
 520.0  0.06259
 525.0  0.06000
 530.0  0.05744
 535.0  0.05488
 540.0  0.05231
 545.0  0.04969
 550.0  0.04700
 555.0  0.04423
 560.0  0.04145
 565.0  0.03875
 570.0  0.03624
 575.0  0.03400
 580.0  0.03211
 585.0  0.03053
 590.0  0.02919
 595.0  0.02804
 600.0  0.02700
 605.0  0.02604
 610.0  0.02514
 615.0  0.02433
 620.0  0.02361
 625.0  0.02300
 630.0  0.02250
 635.0  0.02208
 640.0  0.02171
 645.0  0.02136
 650.0  0.02100
 655.0  0.02060
 660.0  0.02017
 665.0  0.01975
 670.0  0.01935
 675.0  0.01900
 680.0  0.01872
 685.0  0.01849
 690.0  0.01830
 695.0  0.01815
 700.0  0.01800
 705.0  0.01785
 710.0  0.01771
 715.0  0.01756
 720.0  0.01741
 725.0  0.01725
 730.0  0.01710
 735.0  0.01695
 740.0  0.01679
 745.0  0.01664
 750.0  0.01649
 755.0  0.01633
 760.0  0.01618
 765.0  0.01603
 770.0  0.01588
 775.0  0.01573
 780.0  0.01558
 785.0  0.01543
 790.0  0.01528
 795.0  0.01514
 800.0  0.01500
 805.0  0.01486
 810.0  0.01473
 815.0  0.01460
 820.0  0.01446
 825.0  0.01434
 830.0  0.01421
 835.0  0.01408
 840.0  0.01396
 845.0  0.01384
 850.0  0.01371
 855.0  0.01359
 860.0  0.01347
 865.0  0.01335
 870.0  0.01323
 875.0  0.01311
 880.0  0.01299
 885.0  0.01286
 890.0  0.01274
 895.0  0.01262
 900.0  0.01250
 905.0  0.01238
 910.0  0.01225
 915.0  0.01213
 920.0  0.01201
 925.0  0.01188
 930.0  0.01176
 935.0  0.01163
 940.0  0.01151
 945.0  0.01138
 950.0  0.01125
 955.0  0.01113
 960.0  0.01100
 965.0  0.01088
 970.0  0.01075
 975.0  0.01062
 980.0  0.01050
 985.0  0.01037
 990.0  0.01025
 995.0  0.01012
1000.0  0.01000
  -1.0  -1.0000
