"CALCAREOUS SAND" mass-specific mineral absorption coefficient, amin*(wavelength)in m^2/gm,
for use by IOP routines.  These values times the concentration of mineral particles in gm/m^3
gives the absoption coefficient of the mineral particles in 1/m.  
These values are taken from Fig 4-3A of Y-H Ahn, "Proprietes optiques
des particules biologiques et minerales...," Univ. P. & M. Curie, Paris, France, 1999.
Measurements were for 400-700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelen   amin*
  (nm)  (m^2/gm)
 300.0  0.07000
 305.0  0.06773
 310.0  0.06552
 315.0  0.06337
 320.0  0.06128
 325.0  0.05924
 330.0  0.05726
 335.0  0.05535
 340.0  0.05350
 345.0  0.05171
 350.0  0.05000
 355.0  0.04836
 360.0  0.04680
 365.0  0.04529
 370.0  0.04384
 375.0  0.04244
 380.0  0.04109
 385.0  0.03977
 390.0  0.03848
 395.0  0.03723
 400.0  0.03600
 405.0  0.03480
 410.0  0.03361
 415.0  0.03242
 420.0  0.03122
 425.0  0.03000
 430.0  0.02876
 435.0  0.02751
 440.0  0.02628
 445.0  0.02510
 450.0  0.02400
 455.0  0.02300
 460.0  0.02210
 465.0  0.02130
 470.0  0.02060
 475.0  0.02000
 480.0  0.01950
 485.0  0.01907
 490.0  0.01870
 495.0  0.01835
 500.0  0.01800
 505.0  0.01764
 510.0  0.01725
 515.0  0.01685
 520.0  0.01643
 525.0  0.01600
 530.0  0.01556
 535.0  0.01512
 540.0  0.01470
 545.0  0.01432
 550.0  0.01400
 555.0  0.01374
 560.0  0.01353
 565.0  0.01336
 570.0  0.01318
 575.0  0.01300
 580.0  0.01279
 585.0  0.01256
 590.0  0.01234
 595.0  0.01214
 600.0  0.01200
 605.0  0.01192
 610.0  0.01189
 615.0  0.01191
 620.0  0.01195
 625.0  0.01200
 630.0  0.01205
 635.0  0.01209
 640.0  0.01210
 645.0  0.01208
 650.0  0.01200
 655.0  0.01187
 660.0  0.01169
 665.0  0.01147
 670.0  0.01124
 675.0  0.01100
 680.0  0.01077
 685.0  0.01055
 690.0  0.01035
 695.0  0.01016
 700.0  0.01000
 705.0  0.00986
 710.0  0.00974
 715.0  0.00964
 720.0  0.00956
 725.0  0.00949
 730.0  0.00943
 735.0  0.00938
 740.0  0.00934
 745.0  0.00931
 750.0  0.00928
 755.0  0.00926
 760.0  0.00923
 765.0  0.00921
 770.0  0.00919
 775.0  0.00917
 780.0  0.00915
 785.0  0.00912
 790.0  0.00909
 795.0  0.00905
 800.0  0.00900
 805.0  0.00894
 810.0  0.00887
 815.0  0.00880
 820.0  0.00872
 825.0  0.00863
 830.0  0.00854
 835.0  0.00844
 840.0  0.00834
 845.0  0.00823
 850.0  0.00812
 855.0  0.00801
 860.0  0.00790
 865.0  0.00779
 870.0  0.00767
 875.0  0.00756
 880.0  0.00745
 885.0  0.00733
 890.0  0.00722
 895.0  0.00711
 900.0  0.00700
 905.0  0.00689
 910.0  0.00679
 915.0  0.00668
 920.0  0.00658
 925.0  0.00648
 930.0  0.00638
 935.0  0.00628
 940.0  0.00618
 945.0  0.00608
 950.0  0.00599
 955.0  0.00589
 960.0  0.00579
 965.0  0.00570
 970.0  0.00560
 975.0  0.00550
 980.0  0.00540
 985.0  0.00530
 990.0  0.00520
 995.0  0.00510
1000.0  0.00500
  -1.0  -1.0000
