"RED CLAY" mass-specific mineral absorption coefficient, amin*(wavelength) in m^2/gm,
for use by IOP (ab) routines.  These values times the concentration of mineral particles in gm/m^3
give the absoption coefficient of the mineral particles in 1/m.  
These values are taken from Fig 4-3A of Y-H Ahn, "Proprietes optiques
des particules biologiques et minerales...," Univ. P. & M. Curie, 
Paris, France, 1999.  Data were for 400-700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelen   amin*
  (nm)  (m^2/gm)
 300.0  0.22000
 305.0  0.21246
 310.0  0.20514
 315.0  0.19803
 320.0  0.19115
 325.0  0.18449
 330.0  0.17806
 335.0  0.17188
 340.0  0.16596
 345.0  0.16033
 350.0  0.15500
 355.0  0.14999
 360.0  0.14527
 365.0  0.14079
 370.0  0.13651
 375.0  0.13239
 380.0  0.12840
 385.0  0.12449
 390.0  0.12065
 395.0  0.11683
 400.0  0.11300
 405.0  0.10914
 410.0  0.10523
 415.0  0.10124
 420.0  0.09717
 425.0  0.09300
 430.0  0.08873
 435.0  0.08446
 440.0  0.08033
 445.0  0.07646
 450.0  0.07300
 455.0  0.07004
 460.0  0.06748
 465.0  0.06521
 470.0  0.06309
 475.0  0.06100
 480.0  0.05884
 485.0  0.05663
 490.0  0.05440
 495.0  0.05217
 500.0  0.05000
 505.0  0.04790
 510.0  0.04587
 515.0  0.04388
 520.0  0.04193
 525.0  0.04000
 530.0  0.03807
 535.0  0.03612
 540.0  0.03414
 545.0  0.03211
 550.0  0.03000
 555.0  0.02781
 560.0  0.02562
 565.0  0.02353
 570.0  0.02162
 575.0  0.02000
 580.0  0.01874
 585.0  0.01778
 590.0  0.01706
 595.0  0.01649
 600.0  0.01600
 605.0  0.01554
 610.0  0.01510
 615.0  0.01469
 620.0  0.01432
 625.0  0.01400
 630.0  0.01374
 635.0  0.01352
 640.0  0.01334
 645.0  0.01317
 650.0  0.01300
 655.0  0.01282
 660.0  0.01263
 665.0  0.01242
 670.0  0.01221
 675.0  0.01200
 680.0  0.01178
 685.0  0.01157
 690.0  0.01137
 695.0  0.01117
 700.0  0.01100
 705.0  0.01085
 710.0  0.01072
 715.0  0.01061
 720.0  0.01052
 725.0  0.01044
 730.0  0.01037
 735.0  0.01032
 740.0  0.01027
 745.0  0.01023
 750.0  0.01020
 755.0  0.01017
 760.0  0.01015
 765.0  0.01013
 770.0  0.01011
 775.0  0.01010
 780.0  0.01008
 785.0  0.01007
 790.0  0.01005
 795.0  0.01003
 800.0  0.01000
 805.0  0.00997
 810.0  0.00994
 815.0  0.00990
 820.0  0.00986
 825.0  0.00981
 830.0  0.00977
 835.0  0.00972
 840.0  0.00967
 845.0  0.00961
 850.0  0.00956
 855.0  0.00950
 860.0  0.00945
 865.0  0.00939
 870.0  0.00934
 875.0  0.00928
 880.0  0.00922
 885.0  0.00917
 890.0  0.00911
 895.0  0.00905
 900.0  0.00900
 905.0  0.00895
 910.0  0.00889
 915.0  0.00884
 920.0  0.00879
 925.0  0.00874
 930.0  0.00869
 935.0  0.00864
 940.0  0.00859
 945.0  0.00854
 950.0  0.00849
 955.0  0.00845
 960.0  0.00840
 965.0  0.00835
 970.0  0.00830
 975.0  0.00825
 980.0  0.00820
 985.0  0.00815
 990.0  0.00810
 995.0  0.00805
1000.0  0.00800
  -1.0  -1.0000
