"YELLOW CLAY" normalized mass-specific mineral absorption coefficient, amin*(wavelength) in m^2/gm, 
for use by IOP routines.  These values times the concentration of mineral particles in gm/m^3 
give the absoption coefficient of the mineral particles in 1/m.  
These values are taken from Fig 4-3A of Y-H Ahn, "Proprietes optiques
des particules biologiques et minerales...," Univ. P. & M. Curie, 
Paris, France, 1999.  Data were for 400-700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelen   amin*
  (nm)  (m^2/gm)
 300.0  0.12000
 305.0  0.11682
 310.0  0.11367
 315.0  0.11056
 320.0  0.10749
 325.0  0.10445
 330.0  0.10146
 335.0  0.09852
 340.0  0.09562
 345.0  0.09278
 350.0  0.09000
 355.0  0.08728
 360.0  0.08462
 365.0  0.08200
 370.0  0.07941
 375.0  0.07684
 380.0  0.07429
 385.0  0.07174
 390.0  0.06918
 395.0  0.06660
 400.0  0.06400
 405.0  0.06136
 410.0  0.05866
 415.0  0.05588
 420.0  0.05300
 425.0  0.05000
 430.0  0.04688
 435.0  0.04377
 440.0  0.04081
 445.0  0.03817
 450.0  0.03600
 455.0  0.03441
 460.0  0.03329
 465.0  0.03246
 470.0  0.03175
 475.0  0.03100
 480.0  0.03008
 485.0  0.02899
 490.0  0.02776
 495.0  0.02642
 500.0  0.02500
 505.0  0.02353
 510.0  0.02204
 515.0  0.02059
 520.0  0.01923
 525.0  0.01800
 530.0  0.01694
 535.0  0.01603
 540.0  0.01525
 545.0  0.01458
 550.0  0.01400
 555.0  0.01349
 560.0  0.01303
 565.0  0.01264
 570.0  0.01229
 575.0  0.01200
 580.0  0.01175
 585.0  0.01154
 590.0  0.01136
 595.0  0.01118
 600.0  0.01100
 605.0  0.01081
 610.0  0.01061
 615.0  0.01041
 620.0  0.01020
 625.0  0.01000
 630.0  0.00980
 635.0  0.00960
 640.0  0.00941
 645.0  0.00921
 650.0  0.00900
 655.0  0.00879
 660.0  0.00857
 665.0  0.00836
 670.0  0.00817
 675.0  0.00800
 680.0  0.00786
 685.0  0.00774
 690.0  0.00765
 695.0  0.00757
 700.0  0.00750
 705.0  0.00744
 710.0  0.00739
 715.0  0.00735
 720.0  0.00731
 725.0  0.00727
 730.0  0.00724
 735.0  0.00721
 740.0  0.00719
 745.0  0.00717
 750.0  0.00715
 755.0  0.00713
 760.0  0.00712
 765.0  0.00710
 770.0  0.00709
 775.0  0.00707
 780.0  0.00706
 785.0  0.00705
 790.0  0.00703
 795.0  0.00702
 800.0  0.00700
 805.0  0.00698
 810.0  0.00696
 815.0  0.00694
 820.0  0.00692
 825.0  0.00690
 830.0  0.00687
 835.0  0.00685
 840.0  0.00682
 845.0  0.00680
 850.0  0.00677
 855.0  0.00674
 860.0  0.00672
 865.0  0.00669
 870.0  0.00666
 875.0  0.00663
 880.0  0.00661
 885.0  0.00658
 890.0  0.00655
 895.0  0.00653
 900.0  0.00650
 905.0  0.00647
 910.0  0.00645
 915.0  0.00642
 920.0  0.00640
 925.0  0.00637
 930.0  0.00635
 935.0  0.00632
 940.0  0.00630
 945.0  0.00627
 950.0  0.00625
 955.0  0.00622
 960.0  0.00620
 965.0  0.00617
 970.0  0.00615
 975.0  0.00613
 980.0  0.00610
 985.0  0.00608
 990.0  0.00605
 995.0  0.00603
1000.0  0.00600
  -1.0  -1.0000
