"BROWN EARTH" mass-specific mineral scattering coefficient, bmin*(wavelength) in m^2/gm,
for use by IOP routines.  These values times the concentration of mineral particles in gm/m^3
give the scattering coefficient of the mineral particles in 1/m.  
These values are computed from Fig 4-3B and Table 3-II of Y-H Ahn, "Proprietes optiques des particules 
biologiques et minerales...," Univ. P. & M. Curie, Paris, France, 1990.  The Ahn bb* values (Fig. 4-3B) 
are divided by bb*/b* = 0.0099 (Table 3-II) to get b*.  bb* data were 400-700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelen   bmin*
  (nm)  (m^2/gm)
 300.0  0.60000
 305.0  0.60141
 310.0  0.60331
 315.0  0.60564
 320.0  0.60833
 325.0  0.61136
 330.0  0.61466
 335.0  0.61821
 340.0  0.62197
 345.0  0.62591
 350.0  0.63000
 355.0  0.63423
 360.0  0.63869
 365.0  0.64348
 370.0  0.64872
 375.0  0.65453
 380.0  0.66104
 385.0  0.66838
 390.0  0.67671
 395.0  0.68619
 400.0  0.69700
 405.0  0.70918
 410.0  0.72213
 415.0  0.73509
 420.0  0.74730
 425.0  0.75800
 430.0  0.76661
 435.0  0.77344
 440.0  0.77896
 445.0  0.78366
 450.0  0.78800
 455.0  0.79233
 460.0  0.79662
 465.0  0.80075
 470.0  0.80458
 475.0  0.80800
 480.0  0.81089
 485.0  0.81328
 490.0  0.81523
 495.0  0.81679
 500.0  0.81800
 505.0  0.81893
 510.0  0.81972
 515.0  0.82054
 520.0  0.82158
 525.0  0.82300
 530.0  0.82491
 535.0  0.82712
 540.0  0.82938
 545.0  0.83142
 550.0  0.83300
 555.0  0.83387
 560.0  0.83392
 565.0  0.83304
 570.0  0.83111
 575.0  0.82800
 580.0  0.82364
 585.0  0.81821
 590.0  0.81198
 595.0  0.80516
 600.0  0.79800
 605.0  0.79066
 610.0  0.78310
 615.0  0.77521
 620.0  0.76688
 625.0  0.75800
 630.0  0.74850
 635.0  0.73848
 640.0  0.72813
 645.0  0.71758
 650.0  0.70700
 655.0  0.69652
 660.0  0.68622
 665.0  0.67615
 670.0  0.66639
 675.0  0.65700
 680.0  0.64804
 685.0  0.63949
 690.0  0.63132
 695.0  0.62350
 700.0  0.61600
 705.0  0.60881
 710.0  0.60189
 715.0  0.59522
 720.0  0.58879
 725.0  0.58256
 730.0  0.57653
 735.0  0.57068
 740.0  0.56500
 745.0  0.55949
 750.0  0.55414
 755.0  0.54894
 760.0  0.54391
 765.0  0.53903
 770.0  0.53431
 775.0  0.52976
 780.0  0.52540
 785.0  0.52122
 790.0  0.51725
 795.0  0.51350
 800.0  0.51000
 805.0  0.50676
 810.0  0.50375
 815.0  0.50096
 820.0  0.49835
 825.0  0.49590
 830.0  0.49361
 835.0  0.49144
 840.0  0.48939
 845.0  0.48743
 850.0  0.48557
 855.0  0.48378
 860.0  0.48207
 865.0  0.48041
 870.0  0.47881
 875.0  0.47726
 880.0  0.47574
 885.0  0.47427
 890.0  0.47282
 895.0  0.47140
 900.0  0.47000
 905.0  0.46862
 910.0  0.46726
 915.0  0.46593
 920.0  0.46461
 925.0  0.46333
 930.0  0.46207
 935.0  0.46084
 940.0  0.45964
 945.0  0.45848
 950.0  0.45736
 955.0  0.45629
 960.0  0.45528
 965.0  0.45432
 970.0  0.45342
 975.0  0.45261
 980.0  0.45187
 985.0  0.45123
 990.0  0.45069
 995.0  0.45028
1000.0  0.45000
  -1.0  -1.0000
