"CALCAREOUS SAND" mass-specific mineral scattering coefficient, bmin*(wavelength) in m^2/gm, 
for use by IOP routines.  These values times the concentration of mineral particles in gm/m^3
give the scattering coefficient of the mineral particles in 1/m.  
These values are computed from Fig 4-3B and Table 3-II of Y-H Ahn, "Proprietes optiques des particules 
biologiques et minerales...," Univ. P. & M. Curie, Paris, France, 1990.  The Ahn bb* values (Fig. 4-3B) 
are divided by bb*/b* = 0.0122 (Table 3-II) to get b*.  Data are 400 to 700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelength   bmin*
   (nm)     (m^2/gm)
 300.0  1.05000
 305.0  1.05042
 310.0  1.05078
 315.0  1.05107
 320.0  1.05128
 325.0  1.05139
 330.0  1.05140
 335.0  1.05128
 340.0  1.05102
 345.0  1.05060
 350.0  1.05000
 355.0  1.04920
 360.0  1.04824
 365.0  1.04718
 370.0  1.04606
 375.0  1.04493
 380.0  1.04385
 385.0  1.04287
 390.0  1.04203
 395.0  1.04138
 400.0  1.04100
 405.0  1.04090
 410.0  1.04099
 415.0  1.04112
 420.0  1.04117
 425.0  1.04100
 430.0  1.04048
 435.0  1.03952
 440.0  1.03802
 445.0  1.03589
 450.0  1.03300
 455.0  1.02928
 460.0  1.02481
 465.0  1.01970
 470.0  1.01407
 475.0  1.00800
 480.0  1.00159
 485.0  0.99497
 490.0  0.98824
 495.0  0.98155
 500.0  0.97500
 505.0  0.96868
 510.0  0.96248
 515.0  0.95624
 520.0  0.94980
 525.0  0.94300
 530.0  0.93572
 535.0  0.92795
 540.0  0.91972
 545.0  0.91107
 550.0  0.90200
 555.0  0.89260
 560.0  0.88330
 565.0  0.87458
 570.0  0.86697
 575.0  0.86100
 580.0  0.85697
 585.0  0.85418
 590.0  0.85171
 595.0  0.84863
 600.0  0.84400
 605.0  0.83715
 610.0  0.82853
 615.0  0.81884
 620.0  0.80877
 625.0  0.79900
 630.0  0.79007
 635.0  0.78200
 640.0  0.77469
 645.0  0.76805
 650.0  0.76200
 655.0  0.75648
 660.0  0.75140
 665.0  0.74667
 670.0  0.74223
 675.0  0.73800
 680.0  0.73388
 685.0  0.72962
 690.0  0.72492
 695.0  0.71948
 700.0  0.71300
 705.0  0.70529
 710.0  0.69678
 715.0  0.68802
 720.0  0.67957
 725.0  0.67200
 730.0  0.66572
 735.0  0.66052
 740.0  0.65606
 745.0  0.65199
 750.0  0.64800
 755.0  0.64381
 760.0  0.63941
 765.0  0.63482
 770.0  0.63009
 775.0  0.62523
 780.0  0.62028
 785.0  0.61526
 790.0  0.61019
 795.0  0.60509
 800.0  0.60000
 805.0  0.59492
 810.0  0.58986
 815.0  0.58481
 820.0  0.57978
 825.0  0.57476
 830.0  0.56975
 835.0  0.56475
 840.0  0.55975
 845.0  0.55476
 850.0  0.54977
 855.0  0.54479
 860.0  0.53981
 865.0  0.53484
 870.0  0.52986
 875.0  0.52489
 880.0  0.51991
 885.0  0.51494
 890.0  0.50996
 895.0  0.50498
 900.0  0.50000
 905.0  0.49501
 910.0  0.49002
 915.0  0.48503
 920.0  0.48003
 925.0  0.47504
 930.0  0.47004
 935.0  0.46503
 940.0  0.46003
 945.0  0.45503
 950.0  0.45002
 955.0  0.44502
 960.0  0.44001
 965.0  0.43501
 970.0  0.43001
 975.0  0.42500
 980.0  0.42000
 985.0  0.41500
 990.0  0.41000
 995.0  0.40500
1000.0  0.40000
  -1.0  -1.0000
