"RED CLAY" mass-specific mineral scattering coefficient, bmin*(wavelength) in m^2/gm, 
for use by IOP (ab) routines.  These values times the concentration of mineral particles in gm/m^3 
give the scattering coefficient of the mineral particles in 1/m.  
These values are computed from Fig 4-3B and Table 3-II of Y-H Ahn, "Proprietes optiques des particules 
biologiques et minerales...," Univ. P. & M. Curie, Paris, France, 1990.  The Ahn bb* values (Fig. 4-3B) 
are divided by bb*/b* = 0.0067 (Table 3-II) to get b*.  Data were 400-700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelen   bmin*
  (nm)  (m^2/gm)
 300.0  0.80000
 305.0  0.80096
 310.0  0.80194
 315.0  0.80294
 320.0  0.80395
 325.0  0.80497
 330.0  0.80599
 335.0  0.80700
 340.0  0.80801
 345.0  0.80901
 350.0  0.81000
 355.0  0.81097
 360.0  0.81193
 365.0  0.81290
 370.0  0.81389
 375.0  0.81491
 380.0  0.81597
 385.0  0.81710
 390.0  0.81830
 395.0  0.81959
 400.0  0.82100
 405.0  0.82258
 410.0  0.82458
 415.0  0.82727
 420.0  0.83097
 425.0  0.83600
 430.0  0.84247
 435.0  0.84966
 440.0  0.85661
 445.0  0.86238
 450.0  0.86600
 455.0  0.86675
 460.0  0.86501
 465.0  0.86141
 470.0  0.85655
 475.0  0.85100
 480.0  0.84523
 485.0  0.83934
 490.0  0.83333
 495.0  0.82722
 500.0  0.82100
 505.0  0.81470
 510.0  0.80842
 515.0  0.80229
 520.0  0.79644
 525.0  0.79100
 530.0  0.78606
 535.0  0.78153
 540.0  0.77726
 545.0  0.77313
 550.0  0.76900
 555.0  0.76476
 560.0  0.76037
 565.0  0.75580
 570.0  0.75102
 575.0  0.74600
 580.0  0.74070
 585.0  0.73509
 590.0  0.72913
 595.0  0.72278
 600.0  0.71600
 605.0  0.70877
 610.0  0.70125
 615.0  0.69365
 620.0  0.68616
 625.0  0.67900
 630.0  0.67226
 635.0  0.66562
 640.0  0.65866
 645.0  0.65093
 650.0  0.64200
 655.0  0.63161
 660.0  0.62039
 665.0  0.60915
 670.0  0.59874
 675.0  0.59000
 680.0  0.58351
 685.0  0.57874
 690.0  0.57491
 695.0  0.57125
 700.0  0.56700
 705.0  0.56160
 710.0  0.55538
 715.0  0.54886
 720.0  0.54256
 725.0  0.53700
 730.0  0.53258
 735.0  0.52915
 740.0  0.52641
 745.0  0.52412
 750.0  0.52200
 755.0  0.51985
 760.0  0.51764
 765.0  0.51539
 770.0  0.51311
 775.0  0.51084
 780.0  0.50857
 785.0  0.50634
 790.0  0.50415
 795.0  0.50203
 800.0  0.50000
 805.0  0.49807
 810.0  0.49624
 815.0  0.49449
 820.0  0.49282
 825.0  0.49120
 830.0  0.48964
 835.0  0.48812
 840.0  0.48664
 845.0  0.48519
 850.0  0.48377
 855.0  0.48237
 860.0  0.48099
 865.0  0.47962
 870.0  0.47826
 875.0  0.47690
 880.0  0.47553
 885.0  0.47417
 890.0  0.47279
 895.0  0.47141
 900.0  0.47000
 905.0  0.46857
 910.0  0.46713
 915.0  0.46566
 920.0  0.46419
 925.0  0.46270
 930.0  0.46120
 935.0  0.45969
 940.0  0.45818
 945.0  0.45666
 950.0  0.45513
 955.0  0.45361
 960.0  0.45208
 965.0  0.45056
 970.0  0.44903
 975.0  0.44751
 980.0  0.44599
 985.0  0.44448
 990.0  0.44298
 995.0  0.44148
1000.0  0.44000
  -1.0  -1.0000
