"YELLOW CLAY" mass-specific mineral scattering coefficient, bmin*(wavelength) in m^2/gm, 
for use by IOP (ab) routines.  These values times the concentration of mineral particles in gm/m^3 
give the scattering coefficient of the mineral particles in 1/m.  
These values are computed from Fig 4-3B and Table 3-II of Y-H Ahn, "Proprietes optiques des particules 
biologiques et minerales...," Univ. P. & M. Curie, Paris, France, 1990.  The Ahn bb* values (Fig. 4-3B) 
are divided by bb*/b* = 0.0092 (Table 3-II) to get b*.  Data are 400-700 nm.
WARNING: Extrapolated by eye and splines to 300 and 1000 nm for use in H5.0
         Spectrum may be unrealistic in the 300-400 and 700-1000 nm regions
wavelen   bmin*
  (nm)  (m^2/gm)
 300.0  0.70000
 305.0  0.70248
 310.0  0.70539
 315.0  0.70867
 320.0  0.71231
 325.0  0.71626
 330.0  0.72049
 335.0  0.72500
 340.0  0.72976
 345.0  0.73476
 350.0  0.74000
 355.0  0.74549
 360.0  0.75125
 365.0  0.75735
 370.0  0.76383
 375.0  0.77076
 380.0  0.77821
 385.0  0.78626
 390.0  0.79501
 395.0  0.80455
 400.0  0.81500
 405.0  0.82638
 410.0  0.83818
 415.0  0.84980
 420.0  0.86062
 425.0  0.87000
 430.0  0.87745
 435.0  0.88306
 440.0  0.88707
 445.0  0.88966
 450.0  0.89100
 455.0  0.89121
 460.0  0.89029
 465.0  0.88817
 470.0  0.88477
 475.0  0.88000
 480.0  0.87386
 485.0  0.86691
 490.0  0.85983
 495.0  0.85330
 500.0  0.84800
 505.0  0.84441
 510.0  0.84213
 515.0  0.84054
 520.0  0.83903
 525.0  0.83700
 530.0  0.83399
 535.0  0.83007
 540.0  0.82547
 545.0  0.82038
 550.0  0.81500
 555.0  0.80945
 560.0  0.80364
 565.0  0.79740
 570.0  0.79058
 575.0  0.78300
 580.0  0.77457
 585.0  0.76557
 590.0  0.75639
 595.0  0.74741
 600.0  0.73900
 605.0  0.73145
 610.0  0.72466
 615.0  0.71844
 620.0  0.71261
 625.0  0.70700
 630.0  0.70142
 635.0  0.69562
 640.0  0.68931
 645.0  0.68221
 650.0  0.67400
 655.0  0.66457
 660.0  0.65458
 665.0  0.64490
 670.0  0.63641
 675.0  0.63000
 680.0  0.62625
 685.0  0.62443
 690.0  0.62347
 695.0  0.62234
 700.0  0.62000
 705.0  0.61567
 710.0  0.60965
 715.0  0.60251
 720.0  0.59479
 725.0  0.58700
 730.0  0.57959
 735.0  0.57260
 740.0  0.56602
 745.0  0.55983
 750.0  0.55400
 755.0  0.54853
 760.0  0.54338
 765.0  0.53852
 770.0  0.53390
 775.0  0.52950
 780.0  0.52529
 785.0  0.52125
 790.0  0.51737
 795.0  0.51362
 800.0  0.51000
 805.0  0.50649
 810.0  0.50308
 815.0  0.49975
 820.0  0.49650
 825.0  0.49332
 830.0  0.49019
 835.0  0.48712
 840.0  0.48409
 845.0  0.48110
 850.0  0.47815
 855.0  0.47523
 860.0  0.47234
 865.0  0.46947
 870.0  0.46663
 875.0  0.46381
 880.0  0.46101
 885.0  0.45823
 890.0  0.45547
 895.0  0.45272
 900.0  0.45000
 905.0  0.44729
 910.0  0.44461
 915.0  0.44193
 920.0  0.43928
 925.0  0.43664
 930.0  0.43402
 935.0  0.43142
 940.0  0.42883
 945.0  0.42626
 950.0  0.42371
 955.0  0.42119
 960.0  0.41869
 965.0  0.41621
 970.0  0.41377
 975.0  0.41136
 980.0  0.40899
 985.0  0.40666
 990.0  0.40438
 995.0  0.40216
1000.0  0.40000
  -1.0  -1.0000
